root_barrier,.by,n
N,Arbutus-ridge,4968
N,Downtown,4833
N,Dunbar-southlands,9208
N,Fairview,3754
N,Grandview-woodland,6169
N,Hastings-sunrise,9492
N,Kensington-cedar cottage,10445
N,Kerrisdale,6684
N,Killarney,5653
N,Kitsilano,7673
N,Marpole,5985
N,Mount pleasant,5866
N,Oakridge,4577
N,Renfrew-collingwood,10332
N,Riley park,6380
N,Shaughnessy,6768
N,South cambie,3246
N,Strathcona,2533
N,Sunset,7489
N,Victoria-fraserview,7356
N,West end,3246
N,West point grey,4798
Y,Arbutus-ridge,201
Y,Downtown,326
Y,Dunbar-southlands,207
Y,Fairview,248
Y,Grandview-woodland,534
Y,Hastings-sunrise,1055
Y,Kensington-cedar cottage,597
Y,Kerrisdale,252
Y,Killarney,495
Y,Kitsilano,442
Y,Marpole,368
Y,Mount pleasant,426
Y,Oakridge,219
Y,Renfrew-collingwood,1054
Y,Riley park,490
Y,Shaughnessy,241
Y,South cambie,97
Y,Strathcona,191
Y,Sunset,878
Y,Victoria-fraserview,433
Y,West end,261
Y,West point grey,141
